Unnamed: 0,type,age,gender,size,coat,breed
287,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
288,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
289,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
290,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
291,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
293,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
294,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,American Bobtail
295,Abyssinian,American Shorthair,American Bobtail,American Shorthair,American Shorthair,American Bobtail
296,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
297,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
298,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,American Bobtail
299,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Bobtail,American Bobtail
300,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
303,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Shorthair,American Bobtail
304,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
306,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
307,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
308,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
309,Abyssinian,American Bobtail,Abyssinian,American Shorthair,American Shorthair,American Bobtail
310,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
311,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Bobtail,American Bobtail
313,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
314,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
315,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,American Bobtail
316,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Bobtail,American Bobtail
317,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
319,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
320,Abyssinian,Abyssinian,Abyssinian,American Bobtail,American Shorthair,American Bobtail
321,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
322,Abyssinian,American Bobtail,Abyssinian,American Curl,American Curl,American Bobtail
323,Abyssinian,Abyssinian,American Bobtail,American Curl,American Curl,American Bobtail
324,Abyssinian,American Bobtail,American Bobtail,American Curl,American Curl,American Bobtail
325,Abyssinian,American Shorthair,American Bobtail,American Bobtail,American Shorthair,American Bobtail
326,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
327,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,American Bobtail
328,Abyssinian,American Shorthair,American Bobtail,Abyssinian,American Shorthair,American Bobtail
329,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
330,Abyssinian,Abyssinian,Abyssinian,American Bobtail,American Curl,American Bobtail
331,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
332,Abyssinian,American Bobtail,Abyssinian,American Curl,American Curl,American Bobtail
333,Abyssinian,American Bobtail,American Bobtail,American Curl,American Curl,American Bobtail
334,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
335,Abyssinian,American Shorthair,American Bobtail,American Shorthair,American Shorthair,American Bobtail
336,Abyssinian,American Curl,Abyssinian,American Shorthair,American Curl,American Bobtail
337,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
338,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
339,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
340,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
343,Abyssinian,Abyssinian,Abyssinian,American Curl,American Curl,American Bobtail
344,Abyssinian,Abyssinian,Abyssinian,American Curl,American Curl,American Bobtail
345,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,American Bobtail
347,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
348,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
349,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
350,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,American Bobtail
352,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,American Bobtail
354,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,American Bobtail
355,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
356,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,American Bobtail
357,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,American Bobtail
361,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,American Bobtail
362,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
363,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,American Bobtail
364,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
365,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
366,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
367,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,American Bobtail
368,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
369,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
370,Abyssinian,American Bobtail,American Bobtail,American Shorthair,American Shorthair,American Bobtail
371,Abyssinian,American Shorthair,American Bobtail,American Shorthair,American Curl,American Bobtail
372,Abyssinian,American Bobtail,Abyssinian,American Curl,American Curl,American Bobtail
373,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
374,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Bobtail,American Bobtail
375,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
376,Abyssinian,Abyssinian,Abyssinian,American Curl,American Bobtail,American Bobtail
377,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Shorthair,American Bobtail
378,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
379,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
380,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,American Bobtail
381,Abyssinian,Abyssinian,American Bobtail,American Shorthair,American Shorthair,American Bobtail
382,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
383,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Shorthair,American Bobtail
384,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
385,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Curl,American Bobtail
386,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,American Bobtail
387,Abyssinian,American Curl,American Bobtail,American Curl,American Shorthair,American Bobtail
388,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
389,Abyssinian,American Curl,Abyssinian,American Curl,American Shorthair,American Bobtail
390,Abyssinian,American Bobtail,Abyssinian,American Curl,American Bobtail,American Bobtail
393,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Bobtail,American Bobtail
394,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
396,Abyssinian,Abyssinian,Abyssinian,American Bobtail,American Shorthair,American Bobtail
398,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,American Bobtail
399,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
400,Abyssinian,American Curl,Abyssinian,American Bobtail,American Shorthair,American Bobtail
401,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
402,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
403,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
404,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,American Bobtail
405,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
406,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
407,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
408,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
409,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,American Bobtail
410,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
411,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
412,Abyssinian,American Bobtail,Abyssinian,American Shorthair,American Shorthair,American Bobtail
413,Abyssinian,American Bobtail,Abyssinian,American Shorthair,American Shorthair,American Bobtail
414,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,American Bobtail
415,Abyssinian,Abyssinian,Abyssinian,American Bobtail,American Shorthair,American Bobtail
416,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
418,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
419,Abyssinian,American Shorthair,American Bobtail,American Curl,American Shorthair,American Bobtail
420,Abyssinian,American Shorthair,Abyssinian,American Shorthair,American Shorthair,American Bobtail
421,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
422,Abyssinian,American Bobtail,Abyssinian,American Curl,American Curl,American Bobtail
423,Abyssinian,Abyssinian,American Bobtail,Abyssinian,American Shorthair,American Bobtail
424,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
425,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,American Bobtail
426,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,American Bobtail
427,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
428,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
